n,p,omp_encode,ocl_encode,omp_decode,ocl_decode,S_omp_encode,E_omp_encode,S_ocl_encode,S_omp_decode,E_omp_decode,S_ocl_decode
65536,1,0.000201,0.060228,0.000131,0.102381,1.0000,1.0000,0.0033,1.0000,1.0000,0.0013
65536,2,0.000366,0.060228,0.000091,0.102381,0.5485,0.2743,0.0033,1.4455,0.7228,0.0013
65536,4,0.000344,0.060228,0.000058,0.102381,0.5841,0.1460,0.0033,2.2646,0.5661,0.0013
65536,8,0.000525,0.060228,0.000071,0.102381,0.3825,0.0478,0.0033,1.8334,0.2292,0.0013
262144,1,0.001573,0.051682,0.000407,0.106560,1.0000,1.0000,0.0304,1.0000,1.0000,0.0038
262144,2,0.000607,0.051682,0.000277,0.106560,2.5907,1.2954,0.0304,1.4680,0.7340,0.0038
262144,4,0.000657,0.051682,0.000154,0.106560,2.3942,0.5986,0.0304,2.6469,0.6617,0.0038
262144,8,0.000510,0.051682,0.000155,0.106560,3.0862,0.3858,0.0304,2.6310,0.3289,0.0038
1048576,1,0.003342,0.055084,0.001721,0.145696,1.0000,1.0000,0.0607,1.0000,1.0000,0.0118
1048576,2,0.002285,0.055084,0.000920,0.145696,1.4628,0.7314,0.0607,1.8717,0.9359,0.0118
1048576,4,0.001283,0.055084,0.000548,0.145696,2.6059,0.6515,0.0607,3.1419,0.7855,0.0118
1048576,8,0.001215,0.055084,0.000514,0.145696,2.7520,0.3440,0.0607,3.3500,0.4188,0.0118
4194304,1,0.023520,0.066919,0.007261,0.124553,1.0000,1.0000,0.3515,1.0000,1.0000,0.0583
4194304,2,0.013554,0.066919,0.004019,0.124553,1.7353,0.8677,0.3515,1.8065,0.9033,0.0583
4194304,4,0.007612,0.066919,0.001927,0.124553,3.0901,0.7725,0.3515,3.7683,0.9421,0.0583
4194304,8,0.005408,0.066919,0.002977,0.124553,4.3490,0.5436,0.3515,2.4386,0.3048,0.0583
16777216,1,0.092442,0.095290,0.033396,0.162366,1.0000,1.0000,0.9701,1.0000,1.0000,0.2057
16777216,2,0.050672,0.095290,0.013538,0.162366,1.8243,0.9122,0.9701,2.4668,1.2334,0.2057
16777216,4,0.027467,0.095290,0.007240,0.162366,3.3655,0.8414,0.9701,4.6126,1.1531,0.2057
16777216,8,0.016874,0.095290,0.006179,0.162366,5.4783,0.6848,0.9701,5.4048,0.6756,0.2057
