n,p,omp_encode,ocl_encode,omp_decode,ocl_decode,S_omp_encode,E_omp_encode,S_ocl_encode,S_omp_decode,E_omp_decode,S_ocl_decode
65536,1,0.000316,0.022253,0.000144,0.021960,1.0000,1.0000,0.0142,1.0000,1.0000,0.0066
65536,2,0.000308,0.022253,0.000080,0.021960,1.0261,0.5131,0.0142,1.7949,0.8975,0.0066
65536,4,0.000360,0.022253,0.000083,0.021960,0.8760,0.2190,0.0142,1.7464,0.4366,0.0066
65536,8,0.000421,0.022253,0.000089,0.021960,0.7494,0.0937,0.0142,1.6177,0.2022,0.0066
262144,1,0.001390,0.025643,0.000357,0.022294,1.0000,1.0000,0.0542,1.0000,1.0000,0.0160
262144,2,0.000637,0.025643,0.000273,0.022294,2.1810,1.0905,0.0542,1.3104,0.6552,0.0160
262144,4,0.000582,0.025643,0.000249,0.022294,2.3902,0.5975,0.0542,1.4378,0.3595,0.0160
262144,8,0.000679,0.025643,0.000227,0.022294,2.0467,0.2558,0.0542,1.5765,0.1971,0.0160
1048576,1,0.004978,0.021710,0.001584,0.021785,1.0000,1.0000,0.2293,1.0000,1.0000,0.0727
1048576,2,0.002918,0.021710,0.000964,0.021785,1.7061,0.8530,0.2293,1.6430,0.8215,0.0727
1048576,4,0.001711,0.021710,0.000894,0.021785,2.9103,0.7276,0.2293,1.7728,0.4432,0.0727
1048576,8,0.001789,0.021710,0.000994,0.021785,2.7829,0.3479,0.2293,1.5933,0.1992,0.0727
4194304,1,0.016194,0.027352,0.005555,0.019423,1.0000,1.0000,0.5920,1.0000,1.0000,0.2860
4194304,2,0.010198,0.027352,0.003087,0.019423,1.5879,0.7939,0.5920,1.7994,0.8997,0.2860
4194304,4,0.007438,0.027352,0.003153,0.019423,2.1772,0.5443,0.5920,1.7617,0.4404,0.2860
4194304,8,0.005359,0.027352,0.002362,0.019423,3.0219,0.3777,0.5920,2.3513,0.2939,0.2860
16777216,1,0.067647,0.024183,0.020971,0.021238,1.0000,1.0000,2.7973,1.0000,1.0000,0.9874
16777216,2,0.039973,0.024183,0.013001,0.021238,1.6923,0.8462,2.7973,1.6131,0.8065,0.9874
16777216,4,0.024353,0.024183,0.009475,0.021238,2.7778,0.6944,2.7973,2.2133,0.5533,0.9874
16777216,8,0.018654,0.024183,0.006269,0.021238,3.6265,0.4533,2.7973,3.3450,0.4181,0.9874
